27/03/1982	14:30	Karlsruher SC	-	Fortuna Düsseldorf	1:0 (1:0)	
	14:30	MSV Duisburg	-	VfL Bochum	1:0 (1:0)	
30/03/1982	19:00	1. FC Nürnberg	-	Bayern München	0:3 (0:1)	
	19:00	1. FC Köln	-	Arminia Bielefeld	0:1 (0:0)	
	19:00	Eintracht Frankfurt	-	Bor. Mönchengladbach	3:0 (2:0)	
	19:00	Eintracht Braunschweig	-	Werder Bremen	1:1 (1:0)	
	19:00	1. FC Kaiserslautern	-	SV Darmstadt 98	3:1 (2:0)	
31/03/1982	19:00	Hamburger SV	-	VfB Stuttgart	1:1 (1:0)	
	19:00	Borussia Dortmund	-	SV Bayer 04 Leverkusen	2:0 (0:0)	
1		Hamburger SV	26	14	8	4	72:32	40	36:16
2		Bayern München	26	17	2	7	62:37	25	36:16
3		1. FC Köln	26	14	6	6	48:22	26	34:18
4		Werder Bremen	26	13	8	5	45:36	9	34:18
5		Borussia Dortmund	26	13	4	9	46:32	14	30:22
6		Bor. Mönchengladbach	26	11	8	7	46:40	6	30:22
7		Eintracht Braunschweig	26	14	1	11	51:45	6	29:23
8		1. FC Kaiserslautern	26	10	8	8	52:50	2	28:24
9		VfB Stuttgart	26	10	7	9	44:41	3	27:25
10		Eintracht Frankfurt	26	12	2	12	64:58	6	26:26
11		VfL Bochum	26	9	7	10	38:36	2	25:27
12		1. FC Nürnberg	26	9	4	13	39:57	-18	22:30
13		Arminia Bielefeld	26	8	5	13	28:38	-10	21:31
14		Karlsruher SC	26	8	5	13	40:51	-11	21:31
15		Fortuna Düsseldorf	26	6	7	13	39:59	-20	19:33
16		MSV Duisburg	26	7	3	16	33:57	-24	17:35
17		SV Bayer 04 Leverkusen	26	6	5	15	31:59	-28	17:35
18		SV Darmstadt 98	26	4	8	14	33:61	-28	16:36
