08/09/1995	19:00	1. FC Köln	-	KFC Uerdingen 05	0:0 (0:0)	
	19:00	Werder Bremen	-	TSV 1860 München	2:0 (0:0)	
09/09/1995	14:30	Bayern München	-	SC Freiburg	2:0 (0:0)	
	14:30	Eintracht Frankfurt	-	1. FC Kaiserslautern	3:1 (1:0)	
	14:30	VfB Stuttgart	-	Bayer Leverkusen	1:4 (0:0)	
	14:30	FC St. Pauli	-	Borussia Dortmund	0:3 (0:0)	
	14:30	Fortuna Düsseldorf	-	Hamburger SV	2:2 (1:1)	
	14:30	FC Schalke 04	-	Karlsruher SC	2:1 (1:0)	
	14:30	Hansa Rostock	-	Bor. Mönchengladbach	2:3 (2:2)	
1		Bayern München	5	5	0	0	15:4	11	15
2		Bor. Mönchengladbach	5	3	1	1	8:5	3	10
3		Bayer Leverkusen	5	2	3	0	8:4	4	9
4		Borussia Dortmund	5	2	2	1	9:6	3	8
5		Eintracht Frankfurt	5	2	2	1	10:8	2	8
6		Werder Bremen	5	2	2	1	7:7	0	8
7		FC Schalke 04	5	2	2	1	6:6	0	8
8		Hansa Rostock	5	2	1	2	11:10	1	7
9		FC St. Pauli	5	2	1	2	8:8	0	7
10		KFC Uerdingen 05	5	1	3	1	4:3	1	6
11		VfB Stuttgart	5	1	3	1	6:7	-1	6
12		Fortuna Düsseldorf	5	0	5	0	7:7	0	5
13		1. FC Köln	5	1	2	2	4:5	-1	5
14		1. FC Kaiserslautern	5	1	2	2	6:9	-3	5
15		Karlsruher SC	5	1	1	3	6:11	-5	4
16		Hamburger SV	5	0	3	2	10:12	-2	3
17		SC Freiburg	5	1	0	4	3:8	-5	3
18		TSV 1860 München	5	0	1	4	5:13	-8	1
